,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
1358,CITROEN BERLINGO 3,III TAILLE M 650KG BLUEHDI 100 S&S CLUB 3PL,23350,38,2021,05/08/2021,non requis,34 440 Km,Diesel,mécanique,blanc opaque (verni sans reflet),5,3,3 mois,,,non,1,5 CV,102 ch,2,142 g/kmD,,EURO6
1359,CITROEN C3 ENTREPRISE (3E GENERATION),III ENTREPRISE 1.2 PURETECH 82 FEEL,13510,59,2020,18/04/2020,non requis,28 290 Km,Essence,mécanique,BLANC,5,2,3 mois,,,non,,4 CV,82 ch,1,108 g/kmB,,EURO6
1360,CITROEN C4 CACTUS BUSINESS,(2) 1.5 BLUEHDI 120 S&S FEEL NAV EAT6,14870,89,2020,16/07/2020,non requis,168 750 Km,Diesel,automatique,gris anthracite metal,5,2,,,,oui,1,6 CV,120 ch,2,102 g/kmB,4 l/100km,EURO6
1361,CITROEN BERLINGO 3 MULTISPACE,III TAILLE M 1.5 BLUEHDI 100 S&S SHINE,22140,26,2019,03/07/2019,non requis,72 360 Km,Diesel,mécanique,beige nacre,5,5,,,,oui,1,5 CV,102 ch,2,112 g/kmB,4.1 l/100km,EURO6
1362,CITROEN GRAND C4 SPACETOURER,1.5 BLUEHDI 130 S&S FEEL BV6,23520,35,2022,18/08/2022,non requis,70 544 Km,Diesel,mécanique,platine,5,7,,en cours,,oui,1,6 CV,131 ch,2,135 g/kmC,5.2 l/100km,EURO6
1363,CITROEN BERLINGO 2 MULTISPACE,II (3) 1.6 BLUEHDI 100 FEEL,26180,31,2020,31/12/2020,non requis,65 359 Km,Diesel,mécanique,blanc,5,5,12 mois,,SPOTICAR,oui,1,5 CV,102 ch,2,112 g/kmB,4.3 l/100km,EURO6
1364,CITROEN C3 (3E GENERATION),III 1.2 PURETECH 110 S&S FEEL BV6,17120,71,2020,25/08/2020,non requis,20 587 Km,Essence,mécanique,Vert,5,5,12 mois,,SPOTICAR,oui,1,5 CV,110 ch,1,104 g/kmB,4.7 l/100km,EURO6
1365,CITROEN C4 SPACETOURER,1.2 PURETECH 130 S&S BUSINESS EAT6,19420,35,2019,11/10/2019,non requis,69 955 Km,Essence,automatique,rouge,5,5,6 mois,,,oui,1,7 CV,131 ch,1,115 g/kmB,5.1 l/100km,EURO6
1366,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S C-SERIES,22900,30,2022,30/07/2022,non requis,1 042 Km,Essence,mécanique,gris foncé,5,5,12 mois,,,oui,1,4 CV,83 ch,1,123 g/kmC,5.3 l/100km,EURO6
1367,CITROEN C4 PICASSO 2,II (2) 1.6 BLUEHDI 120 S&S BUSINESS BV6,13940,29,2018,01/07/2018,requis,121 443 Km,Diesel,mécanique,gris,5,5,6 mois,,,oui,1,6 CV,120 ch,2,94 g/kmA,3.3 l/100km,EURO6
