,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
1328,MERCEDES CLASSE A 4,IV 180 D PROGRESSIVE LINE 7G-DCT,25830,51,2019,09/07/2019,non requis,87 717 Km,Diesel,automatique,Noir Cosmos,5,5,24 mois,,Mercedes-Benz Certified,non,,6 CV,116 ch,2,107 g/kmB,4 l/100km,EURO6
1329,MERCEDES CLASSE B 3,III 180 D PROGRESSIVE LINE EDITION 7G-DCT,35040,01,2020,11/03/2020,non requis,38 912 Km,Diesel,automatique,Noir,5,5,24 mois,,Mercedes-Benz Certified,oui,1,6 CV,116 ch,2,100 g/kmA,3.8 l/100km,EURO6
1330,MERCEDES CLASSE A 4,IV 200 D PROGRESSIVE LINE 8G-DCT,34400,35,2019,25/09/2019,non requis,45 341 Km,Diesel,automatique,gris clair,5,5,6 mois,,,non,3,7 CV,150 ch,2,104 g/kmB,4 l/100km,EURO6
1331,MERCEDES CLASSE C 4 CABRIOLET,IV (2) CABRIOLET 220 D AMG LINE 9G-TRONIC,45790,13,2021,22/05/2021,non requis,49 863 Km,Diesel,automatique,NOIR,2,4,24 mois,,Mercedes-Benz Certified,non,,10 CV,194 ch,2,142 g/kmD,5.4 l/100km,EURO6
1332,MERCEDES CLASSE E 5 COUPE,V COUPE 220 D SPORTLINE 9G-TRONIC,43490,26,2018,10/01/2019,non requis,63 981 Km,Diesel,automatique,Argent Iridium,2,4,24 mois,,Mercedes-Benz Certified,non,,10 CV,194 ch,2,119 g/kmB,4.6 l/100km,EURO6
1333,MERCEDES CLASSE E 4 COUPE,IV COUPE 220 CDI BLUEEFFICIENCY EXECUTIVE 7G-TRONIC PLUS,21330,60,2011,11/01/2012,requis,121 597 Km,Diesel,automatique,blanc,2,4,6 mois,,,non,,10 CV,170 ch,3,158 g/kmD,4.7 l/100km,EURO4
1334,MERCEDES GLC COUPE,(2) 300 AMG LINE 4MATIC,71380,57,2021,04/01/2022,non requis,18 170 Km,Hybride essence électrique,automatique,bleu,5,5,24 mois,en cours,,oui,1,16 CV,258 ch,1,,,EURO6
1335,MERCEDES CLASSE A 4,IV 200 AMG LINE 7G-DCT,37160,78,2019,18/02/2019,non requis,43 290 Km,Essence,automatique,blanc,5,5,6 mois,,,non,2,8 CV,163 ch,1,119 g/kmB,5.2 l/100km,EURO6
1336,MERCEDES GLE,250 D 4MATIC SPORTLINE,51460,47,2019,13/01/2020,non requis,105 788 Km,Diesel,automatique,Vert amg green hell,5,5,24 mois,,Mercedes-Benz Certified,non,,12 CV,204 ch,2,156 g/kmD,5.9 l/100km,EURO6
1337,MERCEDES GLE COUPE,350 D SPORTLINE 4MATIC,77950,13,2019,04/04/2019,non requis,39 083 Km,Diesel,automatique,NOIR,5,5,24 mois,,Mercedes-Benz Certified,non,,17 CV,258 ch,2,202 g/kmF,7.7 l/100km,EURO6
