,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
54,MERCEDES CLA 2 SHOOTING BRAKE,II SHOOTING BRAKE 220 D 10CV AMG LINE 8G-DCT,52010,76,2021,21/09/2021,non requis,52 030 Km,Diesel,automatique,blanc,5,5,12 mois,,,non,3,10 CV,190 ch,2,140 g/kmC,5 l/100km,EURO6
55,MERCEDES EQC,400 AMG LINE 4MATIC,71170,80,2021,26/07/2021,non requis,29 569 Km,Electrique,automatique,Bleu cavansite,5,5,12 mois,,Das WeltAuto. Premium,non,,8 CV,408 ch,0,0 g/kmA,,EURO6
56,MERCEDES GLA 2,II 200 PROGRESSIVE LINE DCT,43100,40,2021,24/09/2021,non requis,43 963 Km,Essence,automatique,BLANC DIGITAL,5,5,,,,non,,9 CV,163 ch,1,151 g/kmD,6.6 l/100km,EURO6
57,MERCEDES CLASSE C 4 SW,IV SW 200 SPORTLINE 9G-TRO,39340,24,2018,27/05/2018,requis,19 680 Km,Essence,automatique,CAVANSITBLAU - METALLIC PAINT,4,5,12 mois,,,non,2,10 CV,184 ch,1,137 g/kmC,5.1 l/100km,EURO6
58,MERCEDES GLA,(2) 200 D 7CV STARLIGHT EDITION 7G-DCT,37370,65,2020,24/05/2020,non requis,51 349 Km,Diesel,automatique,NOIR,5,5,24 mois,,Mercedes-Benz Certified,non,,7 CV,136 ch,2,141 g/kmD,5.2 l/100km,EURO6
59,MERCEDES CLASSE C 4 SW,IV SW 250 BLUETEC BUSINESS EXECUTIVE 4MATIC 7G-TRONIC,19960,85,2016,25/11/2016,requis,181 361 Km,Diesel,automatique,Marron Métal,5,5,3 mois,,,non,,11 CV,204 ch,2,131 g/kmC,5 l/100km,EURO5
60,MERCEDES GLA,(2) 200 SENSATION 7G-DCT,31500,40,2020,23/11/2020,non requis,63 874 Km,Essence,automatique,GRIS F,5,5,24 mois,,Mercedes-Benz Certified,oui,,9 CV,156 ch,1,142 g/kmD,10.2 l/100km,EURO6
61,MERCEDES GLC,220 D 10CV EXECUTIVE 4MATIC 9G-TRONIC,46230,85,2019,31/01/2020,non requis,99 719 Km,Diesel,automatique,NOIR,5,5,12 mois,,,non,,10 CV,170 ch,2,155 g/kmD,5.9 l/100km,EURO6
62,MERCEDES GLA,(2) 250 SENSATION 7G-DCT,33580,34,2019,01/05/2019,non requis,43 257 Km,Essence,automatique,Noir cosmos,5,5,24 mois,,Mercedes-Benz Certified,non,,12 CV,211 ch,1,155 g/kmD,6.8 l/100km,EURO6
63,MERCEDES GLB,200 D BUSINESS LINE 8G-DCT,49480,67,2023,16/08/2023,non requis,12 100 Km,Diesel,automatique,Noir cosmos métallisé,5,7,24 mois,,Mercedes-Benz Certified,oui,,8 CV,150 ch,2,143 g/kmD,5.4 l/100km,EURO6
64,MERCEDES CLASSE B 3,III B 200 D AMG LINE EDITION 8G-DCT,39910,67,2021,17/06/2021,non requis,40 022 Km,Diesel,automatique,Blanc polaire non métallisé,5,5,24 mois,,Mercedes-Benz Certified,oui,,8 CV,150 ch,2,130 g/kmC,5 l/100km,EURO6
65,MERCEDES CLA 2 SHOOTING BRAKE,II SHOOTING BRAKE 200 AMG LINE 7G-DCT,41050,67,2020,02/02/2020,non requis,46 214 Km,Essence,automatique,NOIR,5,5,24 mois,,Mercedes-Benz Certified,non,,8 CV,163 ch,1,118 g/kmB,5.2 l/100km,EURO6
66,MERCEDES CLASSE A 4,IV 180 D PROGRESSIVE LINE 8G-DCT,31590,67,2022,23/03/2022,non requis,29 622 Km,Diesel,automatique,GRIS,5,5,24 mois,,Mercedes-Benz Certified,non,,6 CV,116 ch,2,130 g/kmC,5 l/100km,EURO6
67,MERCEDES GLA,200 D FASCINATION 7G-DCT,30040,83,2017,16/11/2017,requis,82 955 Km,Diesel,automatique,Noir cosmos,5,5,12 mois,,,non,,7 CV,136 ch,2,115 g/kmB,4.4 l/100km,EURO6
68,MERCEDES GLC,(2) 220 D AMG LINE 4MATIC BVA9,68280,83,2022,05/11/2022,non requis,59 165 Km,Diesel,automatique,Noir,5,5,24 mois,en cours,Mercedes-Benz Certified,oui,,11 CV,194 ch,2,166 g/kmE,6.3 l/100km,EURO6
69,MERCEDES GLE 2,II 350 DE 11CV 4MATIC AMG LINE 9G-TRONIC,98800,35,2022,09/03/2022,non requis,22 668 Km,Hybride diesel électrique,automatique,Argent iridium,5,5,24 mois,en cours,Mercedes-Benz Certified,non,,11 CV,320 ch,1,19 g/kmA,0.7 l/100km,EURO6
