,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
31,PEUGEOT 3008 (2E GENERATION),II 1.2 PURETECH 130 S&S GT LINE,31840,76,2020,03/02/2020,non requis,24 162 Km,Essence,mécanique,rouge,5,5,12 mois,,SPOTICAR,oui,1,7 CV,131 ch,1,113 g/kmB,5.1 l/100km,EURO6
32,PEUGEOT 2008,1.6 BLUEHDI 100 STYLE,12980,75,2017,20/11/2017,requis,117 544 Km,Diesel,mécanique,gris,5,5,12 mois,,,non,,5 CV,99 ch,2,97 g/kmA,3.3 l/100km,EURO6
33,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S ALLURE,23270,80,2022,01/10/2022,non requis,40 321 Km,Essence,mécanique,gris,5,5,12 mois,en cours,SPOTICAR,oui,1,5 CV,101 ch,1,118 g/kmB,5.3 l/100km,EURO6
34,PEUGEOT 3008 (2E GENERATION),II 1.5 BLUEHDI 130 S&S ALLURE EAT8,30140,33,2020,02/11/2020,non requis,52 018 Km,Diesel,automatique,gris,5,5,12 mois,,SPOTICAR,oui,1,6 CV,131 ch,2,102 g/kmB,4 l/100km,EURO6
35,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 75 S&S ACTIVE,18660,93,2020,26/09/2020,non requis,33 870 Km,Essence,mécanique,jaune,5,5,12 mois,,SPOTICAR,oui,1,4 CV,75 ch,1,93 g/kmA,4.1 l/100km,EURO6
36,PEUGEOT 2008 (2E GENERATION),II 1.5 BLUEHDI 130 S&S 7CV GT LINE EAT8,26620,13,2021,17/09/2021,non requis,73 818 Km,Diesel,automatique,orange,5,5,12 mois,,SPOTICAR,oui,1,7 CV,131 ch,2,129 g/kmC,4.9 l/100km,EURO6
37,PEUGEOT 3008 (2E GENERATION),II 1.2 PURETECH 130 ALLURE,21350,75,2018,17/07/2018,requis,99 456 Km,Essence,mécanique,blanc,5,5,12 mois,,,non,,7 CV,131 ch,1,117 g/kmB,4.5 l/100km,EURO6
38,PEUGEOT 3008 (2E GENERATION),II 1.5 BLUEHDI 130 S&S ACTIVE,28200,28,2019,14/12/2019,non requis,35 236 Km,Diesel,mécanique,blanc,5,5,12 mois,,,non,3,6 CV,131 ch,2,106 g/kmB,4 l/100km,EURO6
39,PEUGEOT 5008 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S ACTIVE PACK,36340,33,2022,03/08/2022,non requis,27 082 Km,Diesel,mécanique,noir,5,7,12 mois,en cours,SPOTICAR,oui,1,7 CV,131 ch,2,133 g/kmC,5.1 l/100km,EURO6
40,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 75 S&S ACTIVE BUSINESS,17810,42,2021,10/02/2021,non requis,22 786 Km,Essence,mécanique,gris,5,5,12 mois,,SPOTICAR,oui,1,4 CV,75 ch,1,122 g/kmC,5.4 l/100km,EURO6
