,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
1352,PEUGEOT 508 SW,(2) SW 2.0 HDI 140 ACTIVE,14380,69,2015,13/06/2015,requis,112 800 Km,Diesel,mécanique,noir,5,5,6 mois,,,non,2,7 CV,140 ch,2,120 g/kmB,3.8 l/100km,EURO5
1353,PEUGEOT 207 SW,SW 1.6 HDI 16V 90 PREMIUM,6310,77,2011,26/10/2011,requis,168 009 Km,Diesel,mécanique,gris foncé,5,5,6 mois,,,non,2,5 CV,90 ch,3,119 g/kmB,3.9 l/100km,EURO4
1354,PEUGEOT 2008,(2) 1.6 BLUEHDI 100 S&S ALLURE BUSINESS ETG6,12750,69,2019,31/07/2019,non requis,142 997 Km,Diesel,automatique,gris,5,5,6 mois,,,oui,1,5 CV,99 ch,2,95 g/kmA,3.3 l/100km,EURO6
1355,PEUGEOT 308 (2E GENERATION),II 1.6 THP 155 FELINE,14930,31,2014,09/04/2014,requis,118 225 Km,Essence,mécanique,gris,5,5,3 mois,,,non,3,8 CV,156 ch,1,134 g/kmC,4.6 l/100km,EURO5
1356,PEUGEOT 108,1.0 VTI 72 S&S ACTIVE 5P,13200,69,2020,10/02/2020,non requis,22 178 Km,Essence,mécanique,blanc,5,4,12 mois,,,non,,4 CV,72 ch,1,93 g/kmA,4.1 l/100km,EURO6
1357,PEUGEOT 3008,(2) 2.0 HDI 163 FAP FELINE BVA6,17340,30,2015,13/01/2016,requis,142 182 Km,Diesel,automatique,bleu,5,5,,,,non,3,9 CV,163 ch,2,159 g/kmD,5 l/100km,EURO5
1358,PEUGEOT 508 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S GT EAT8,38920,06,2022,01/02/2023,non requis,23 222 Km,Diesel,automatique,bleu,5,5,12 mois,en cours,,oui,1,7 CV,131 ch,2,123 g/kmC,4.6 l/100km,EURO6
1359,PEUGEOT 3008 (2E GENERATION),II (2) 1.6 HYBRID 225 ALLURE E-EAT8,39580,02,2022,01/11/2022,non requis,40 497 Km,Hybride essence électrique,automatique,Gris,5,5,,en cours,,non,1,10 CV,181 ch,1,31 g/kmA,1.3 l/100km,EURO6
1360,PEUGEOT 208 (2E GENERATION),1.2 PURETECH 100CH S&S GT EAT8,29020,63,2022,15/11/2022,non requis,33 855 Km,Essence,automatique,Noir Perla Nera,5,,12 mois,,SPOTICAR,non,,5 CV,102 ch,,123 g/kmC,,
1361,PEUGEOT 208 (2E GENERATION),1.2 PURETECH 100CH S&S GT EAT8,29980,63,2022,11/07/2022,non requis,35 976 Km,Essence,automatique,Gris Platinium,5,,12 mois,,SPOTICAR,non,,5 CV,102 ch,,123 g/kmC,,
1362,PEUGEOT 2008 (2E GENERATION),II 1.2 PURETECH 100 S&S 5CV ALLURE,25940,78,2021,29/08/2021,non requis,39 552 Km,Essence,mécanique,Gris,5,5,,,,oui,1,5 CV,101 ch,1,127 g/kmC,5.6 l/100km,EURO6
1363,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S ALLURE,19780,78,2021,30/11/2021,non requis,58 913 Km,Essence,mécanique,Noir Perla Nera,5,5,,,,oui,1,5 CV,101 ch,1,124 g/kmC,5.5 l/100km,EURO6
